,Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Preco,n_vendidos_categoria
638,Kit 12 Peças De Roupa 1 Ao 14 Masculino 6 Camiseta +6 Shorts,4.3,207,0.1,JURASSIC KIDS,N/A,Meninos,N/A,"Pessoal pode comprar sem medo. É maravilhosos todos os conjuntos, as cores são bem viva, o tecido é muito bom também estou apaixonada, meu filho tem 4 anos e comprei tamanho 8 então ele vai usar por muito tempo. Com toda certeza comprei novamente. Obrigado ^:^.","Os tamanhos são totalmente errados número 6 cabe numa criança que usa 2.
E os conjuntos nem vem variados as cores das camisetas vinheram 4 conjuntos com todas as camisetas cinzas aff odiei.
Esperava uma de cada cor pelo menos.","A qualidade nao é boa , pedi tamanho 8 , mas sao pequenos , comprei pra dar de presente mas me arrependi , nem tenho coragem de dar , sao roupas de usar em casa bem simples, as foto engana.",144.41,1000
639,Sapatilha Ginastica Ritmica Ponteira Rythmoon,4.8,39,0.0,Rythmoon,N/A,Feminino,N/A,Ótima qualidade.,"Muito bom,compre sem medo.",Produto de ótima qualidade minha filha achou bem confortável.,59.0,100
640,Shorts Jeans Feminino Cintura Alta Mom Hot Pants Destroyed,5.0,1,0.0,Maria do Carmo Denim,Jean,Feminino,Primavera/Verão,Gostei demais e o cheirinho de loja maravilhoso 💝.,N/A,N/A,62.4,3
641,Kit 6 Short Bebê Tapa Fralda Menino Menina Roupas Para Bebê,,0,0.1,Sophi,Algodão,Bebês,Primavera/Verão,N/A,N/A,N/A,59.91,25
642,Kit 10 Peças Infantil Feminino 10 Ao 14 Juvenil Premium,5.0,3,0.0,Balloon Kids,N/A,Meninas,N/A,"As blusinhas são bem justas, peguei num 14, se a criança for gordinha não vai servir. A numeração não corresponde. São super pequenas.
Não serviu nenhuma.",N/A,N/A,136.8,5
643,Calça Feminina Flare Bandagem Boca De Sino Cintura Alta Top,3.7,69,0.0,Propria,Bandagem,Feminino,Outono/Inverno,"Comprei a cor marrom e veio azul, o corte é horrível pois não dá pra saber o que é frente ou costas, fica toda empapuçada nas partes íntimas.","Muito grande para o tamanho escolhido ! um p que veste g , nao me serviu !.","Comprei 2 calças preta e uma azul tamanho gg.
A preta tem o tamanho g, venho mais pequena.
Que azul que condiz ao tamanho gg. São bonitas aprovado.",53.97,1000
644,Bermuda Juvenil Jeans Masculino Roupa Short Menino,4.9,14,0.11,Nacional,Jeans,Meninos,Primavera/Verão,"Muito linda!!!.
Meu filho amou!!.","Produto de qualidade, gostei muito bem acabado melhor de que esperava recomendo.","Gostei muito, e compraria novamente.",52.16,100
645,Kit 3 Conjuntos Térmico Blusa E Calça Infantil 1 A 8 Unissex,4.2,6,0.0,ItsBella,N/A,Sem gênero infantil,N/A,"Os conjuntos ficaram perfeitos na minha bebê de 1 a e 8m. Protege muito bem do frio extremo como primeira camada. Por fora é fresquinho e por dentro forradinho com tecido térmico. Só tivemos um problema com as costuras que começaram a desfazer com facilidade. Mas no geral, bom custo benefício!.",O produto é perfeito.,"Amo esses conjuntos, bem confortável.",169.9,50
646,Kit Collant Regata Completo Ballet Adulto Balé 5 Peças,5.0,2,0.0,Stelariss Figurinos,N/A,Feminino,N/A,"O produto é maravilhoso, porém eu peguei um número menor que do que deveria ter pedido.",N/A,N/A,134.0,5
647,Kit 8 Peças De Roupa Infantil Masculino 4 Camisas + 4 Shorts,4.4,388,0.1,Imperio Kids,N/A,Bebês,N/A,Ótima roupas.,"Os tecidos são de excelente qualidade, recomendo.",Ficou perfeito peguei tamanho 3 meu filho tem 2 anos.,112.82,1000
648,Kit 3 Short Jeans Feminino Cintura Alta Barato Atacado,4.4,507,0.09,Menina Linda,Jean,Feminino,Primavera/Verão,"Estou encantada com essas peças!.
Os shorts são lindos e super confortáveis, comprem sem medo!.","Recomendo, tecido confortável, igual a foto.","Gostei muito dos shorts, material bom, para usar no dia a dia está ótimo.",129.2,1000
649,Kit 2 Calças Jeans Masculina Com Lycra.,4.6,2146,0.05,Almix,Jean,Masculino,Primavera/Verão,"Obs: eu não suporto calças apertadas , e nem muito largas.
Numeração ( 42 ). Ficou ótima em mim.
Tenho 1. 80 de altura e uns 75kg.
Na cintura e nas coxas, ficou muito boa , ou seja.
- não ficou apertado e nem muito largo. ( ficou legal ).
Do joelho para baixo , ficaram retas ou seja, não tem modelagem , más, tbem não ficou feio , pois não ficou larga.
- elas ficam alinhado com o corpo , porém, não apertado.
Então ela é uma boa escolha para compra.
Porém , só um alerta !.
* ela é fina , tecido leve.
* comprimento é super grande.
Resumindo.
De 1 á 10 , ela valeu uns ( 8 ).","Gostei, as calças vestem bem, são confortáveis e o tecido tem qualidade. Por ter gostado resolvi comprar outro kit com três calças. Nesse kit tenho um reparo a fazer: a numeração que pedi foi 40 e a calça azul clara, apesar de ter na etiqueta a numeração 40, tinha o tamanho correspondente a 42 ou 44. Ficará grande e terei que mandar ajustar. O controle de qualidade poderia ser melhor efetuado nesses casos. No mais nada a reclamar.","Recomendo ótimo jeans tenho 1. 80 altura e 97 kg a número 48 ficou ótimo se eu quiser vou fazer é só o abanhado mas não fiz dobrei por dentro nem se percebe , não ficou colada no corpo que pra mim é ótimo.
Comprarei novamente em breve.
Que deus abençoe a todos.",134.3,10000
650,Kit 2 Cuecas Boxer Lupo Sem Costura Microfibra 100% Original,4.8,4,0.16,Lupo,Poliamida,Masculino,Outono/Inverno,"Cueca muito boa! porém a forma dela é pequena, se você usa 40 pega a m.",N/A,N/A,61.4,100
651,Roupas Femininas Shorts Cintura Alta Com Lycra - Kit Com 4,,0,0.0,Mr Jeans,Jean,Feminino,Primavera/Verão,N/A,N/A,N/A,179.9,5
652,Calça Levis 501 Original Tradicional Masculina 100% Algodão,4.4,29,0.0,Levi's,Algodão,Masculino,Primavera/Verão,Perfeito e original.,"A calça parece ser original, boa qualidade.","Atendeu as expectativas, só senti falta da nota fiscal.",334.99,100
653,Macacão Goku Mesversário Roupa Bebê Menino + Boina Promoção,4.0,4,0.1,MultiMarcas,N/A,Bebês,Primavera/Verão,Ficou muito bom!!!! roupa nostálgica! kkk.,"Produto bom, só não pode lavar.",N/A,39.99,100
654,Roupas Femininas Shorts Jeans Cintura Alta - Kit 3,4.3,3,0.0,Mr Jeans,Jean,Feminino,Primavera/Verão,Eu amei.,"Linda, ótima qualidade e igualzinho da foto! com ctz irei comprar novamente.",N/A,145.99,25
655,Cueca Slip Microfibra Sem Costura Risca De Giz Original Mash,4.8,6,0.0,Mash,Microfibra,Masculino,Primavera/Verão,Show.,"Produto top, de boa qualidade. Fiquei muito satisfeito com a compra.",Muito bom.,19.9,100
656,Body Bebê+mijão Liso E Estampado Kit C/13 Roupa Bebê Atacado,4.3,602,0.08,Batutinhas Baby,N/A,Bebês,N/A,"Eu realmente queria pequeno então por ver que estavam falando que o p era pequeno comprei mesmo assim já que não tinha rn, não sei se vai ficar certinho pois meus bebês ainda não nasceram. Na dúvida é melhor comprarem um número maior pois por grande não se perde. A qualidade é boa até pq vem bastante peças e achei o preço justo, o body achei bem fino e um veio mal costurado na parte de baixo do braço mas nada que uma linha não resolva.","Estou total insatisfeita,veio calça com cores repetidas,apenas uma estampada,sendo q na descrição são duas,o body tbm veio um com cor de menino ,verde bem escuro ,sendo q especifiquei q não queria na cor verde e azul. Pq meu bebê é menina. E as luvinhas não me mandaram e as touquinhas são grandes para bebê rn. Mesmo q o preço seja razoável,mesmo assim dou valor ao meu dinheiro,sendo pouco ou não. Não recomendo e não comprarei novamente!!.","Os produtos são lindinhos. Chegaram antes do tempo previsto, bem embaladinhos.",67.37,5000
